split,method,seed,episodes,success,task_success_rate,future_regret,commitment_violation,base_collision,arm_collision,swing_block,approach_occlusion,reposition_count,path_length,risk_proxy
aggregate_hard_regime,greedy_current_reach,0,60,0.23333,0.40500,0.76667,0.23333,0.00000,0.00000,0.00000,0.00000,1.20000,0.86332,0.77096
aggregate_hard_regime,greedy_current_reach,1,60,0.23333,0.40944,0.76667,0.20000,0.00000,0.00000,0.00000,0.00000,1.23333,0.82327,0.77082
aggregate_hard_regime,greedy_current_reach,2,60,0.25000,0.42806,0.75000,0.20000,0.00000,0.00000,0.00000,0.00000,1.35000,0.89901,0.75504
aggregate_hard_regime,greedy_current_reach,3,60,0.21667,0.42639,0.78333,0.25000,0.00000,0.00000,0.00000,0.00000,1.25000,0.90070,0.78703
aggregate_hard_regime,greedy_current_reach,4,60,0.21667,0.41417,0.78333,0.23333,0.00000,0.00000,0.00000,0.00000,1.26667,0.83687,0.78716
aggregate_hard_regime,greedy_current_reach,5,60,0.23333,0.39611,0.76667,0.20000,0.00000,0.00000,0.00000,0.00000,1.20000,0.81709,0.77115
aggregate_hard_regime,greedy_current_reach,6,60,0.21667,0.41306,0.78333,0.23333,0.00000,0.00000,0.00000,0.00000,1.28333,0.89357,0.78706
aggregate_hard_regime,greedy_current_reach,7,60,0.20000,0.42111,0.80000,0.25000,0.00000,0.00000,0.00000,0.00000,1.25000,0.83983,0.80320
aggregate_hard_regime,navigation_then_manipulation,0,60,0.20000,0.29667,0.40000,0.06667,0.00000,0.33333,0.00000,0.00000,0.76667,0.45990,0.44193
aggregate_hard_regime,navigation_then_manipulation,1,60,0.20000,0.30111,0.50000,0.03333,0.00000,0.30000,0.00000,0.00000,0.80000,0.42237,0.53585
aggregate_hard_regime,navigation_then_manipulation,2,60,0.20000,0.31556,0.45000,0.05000,0.00000,0.31667,0.00000,0.00000,0.81667,0.46859,0.48929
aggregate_hard_regime,navigation_then_manipulation,3,60,0.20000,0.31889,0.43333,0.06667,0.00000,0.30000,0.00000,0.00000,0.86667,0.49128,0.47256
aggregate_hard_regime,navigation_then_manipulation,4,60,0.20000,0.31000,0.48333,0.05000,0.00000,0.28333,0.00000,0.00000,0.83333,0.44455,0.51913
aggregate_hard_regime,navigation_then_manipulation,5,60,0.20000,0.28444,0.43333,0.03333,0.00000,0.33333,0.00000,0.00000,0.70000,0.39553,0.47360
aggregate_hard_regime,navigation_then_manipulation,6,60,0.20000,0.30222,0.38333,0.06667,0.00000,0.33333,0.00000,0.00000,0.78333,0.47073,0.42532
aggregate_hard_regime,navigation_then_manipulation,7,60,0.20000,0.32111,0.46667,0.05000,0.00000,0.28333,0.00000,0.00000,0.85000,0.47643,0.50321
aggregate_hard_regime,reachability_margin_sampler,0,60,0.20000,0.40000,0.80000,0.25000,0.00000,0.00000,0.00000,0.00000,1.28333,0.91224,0.80350
aggregate_hard_regime,reachability_margin_sampler,1,60,0.21667,0.40528,0.78333,0.18333,0.00000,0.00000,0.00000,0.00000,1.31667,0.84794,0.78725
aggregate_hard_regime,reachability_margin_sampler,2,60,0.23333,0.42389,0.76667,0.21667,0.00000,0.00000,0.00000,0.00000,1.38333,0.92177,0.77128
aggregate_hard_regime,reachability_margin_sampler,3,60,0.21667,0.42639,0.78333,0.25000,0.00000,0.00000,0.00000,0.00000,1.31667,0.94813,0.78693
aggregate_hard_regime,reachability_margin_sampler,4,60,0.21667,0.41750,0.78333,0.23333,0.00000,0.00000,0.00000,0.00000,1.33333,0.91758,0.78716
aggregate_hard_regime,reachability_margin_sampler,5,60,0.21667,0.39194,0.78333,0.21667,0.00000,0.00000,0.00000,0.00000,1.23333,0.83146,0.78754
aggregate_hard_regime,reachability_margin_sampler,6,60,0.21667,0.40639,0.78333,0.23333,0.00000,0.00000,0.00000,0.00000,1.31667,0.90654,0.78706
aggregate_hard_regime,reachability_margin_sampler,7,60,0.20000,0.42444,0.80000,0.23333,0.00000,0.00000,0.00000,0.00000,1.35000,0.93231,0.80330
aggregate_hard_regime,receding_horizon_tamp,0,60,0.38333,0.44583,0.61667,0.08333,0.00000,0.00000,0.00000,0.00000,1.41667,1.16710,0.62555
aggregate_hard_regime,receding_horizon_tamp,1,60,0.38333,0.44694,0.61667,0.05000,0.00000,0.00000,0.00000,0.00000,1.38333,1.09125,0.62540
aggregate_hard_regime,receding_horizon_tamp,2,60,0.40000,0.46556,0.60000,0.05000,0.00000,0.00000,0.00000,0.00000,1.50000,1.17190,0.60973
aggregate_hard_regime,receding_horizon_tamp,3,60,0.38333,0.47139,0.61667,0.06667,0.00000,0.00000,0.00000,0.00000,1.48333,1.24702,0.62548
aggregate_hard_regime,receding_horizon_tamp,4,60,0.40000,0.46333,0.60000,0.05000,0.00000,0.00000,0.00000,0.00000,1.46667,1.20076,0.60945
aggregate_hard_regime,receding_horizon_tamp,5,60,0.40000,0.43778,0.60000,0.03333,0.00000,0.00000,0.00000,0.00000,1.40000,1.12180,0.60954
aggregate_hard_regime,receding_horizon_tamp,6,60,0.40000,0.45889,0.60000,0.06667,0.00000,0.00000,0.00000,0.00000,1.50000,1.26944,0.60955
aggregate_hard_regime,receding_horizon_tamp,7,60,0.40000,0.47444,0.60000,0.05000,0.00000,0.00000,0.00000,0.00000,1.55000,1.31799,0.60966
aggregate_hard_regime,commitment_cost_planner_v4,0,60,0.31667,0.42917,0.68333,0.08333,0.00000,0.00000,0.00000,0.00000,1.35000,1.04418,0.68994
aggregate_hard_regime,commitment_cost_planner_v4,1,60,0.31667,0.43028,0.68333,0.05000,0.00000,0.00000,0.00000,0.00000,1.31667,0.97673,0.68982
aggregate_hard_regime,commitment_cost_planner_v4,2,60,0.35000,0.45306,0.65000,0.05000,0.00000,0.00000,0.00000,0.00000,1.45000,1.08302,0.65798
aggregate_hard_regime,commitment_cost_planner_v4,3,60,0.30000,0.44722,0.70000,0.06667,0.00000,0.00000,0.00000,0.00000,1.38333,1.07592,0.70608
aggregate_hard_regime,commitment_cost_planner_v4,4,60,0.35000,0.45083,0.65000,0.05000,0.00000,0.00000,0.00000,0.00000,1.41667,1.11225,0.65772
aggregate_hard_regime,commitment_cost_planner_v4,5,60,0.31667,0.41694,0.68333,0.03333,0.00000,0.00000,0.00000,0.00000,1.31667,0.97516,0.69009
aggregate_hard_regime,commitment_cost_planner_v4,6,60,0.26667,0.41889,0.73333,0.06667,0.00000,0.00000,0.00000,0.00000,1.33333,0.98687,0.73855
aggregate_hard_regime,commitment_cost_planner_v4,7,60,0.26667,0.44111,0.73333,0.05000,0.00000,0.00000,0.00000,0.00000,1.41667,1.08574,0.73860
aggregate_hard_regime,rollout_mpc_depth2,0,60,0.38333,0.44583,0.61667,0.08333,0.00000,0.00000,0.00000,0.00000,1.41667,1.16710,0.62555
aggregate_hard_regime,rollout_mpc_depth2,1,60,0.38333,0.44694,0.61667,0.05000,0.00000,0.00000,0.00000,0.00000,1.38333,1.09125,0.62540
aggregate_hard_regime,rollout_mpc_depth2,2,60,0.40000,0.46556,0.60000,0.05000,0.00000,0.00000,0.00000,0.00000,1.50000,1.17190,0.60973
aggregate_hard_regime,rollout_mpc_depth2,3,60,0.38333,0.47139,0.61667,0.06667,0.00000,0.00000,0.00000,0.00000,1.48333,1.24702,0.62548
aggregate_hard_regime,rollout_mpc_depth2,4,60,0.40000,0.46333,0.60000,0.05000,0.00000,0.00000,0.00000,0.00000,1.46667,1.20076,0.60945
